SIGNET_SOURCE	SIGNET_DEST
DCTD	ACOT7 NIF3L1
DDHD1	CAMK2D CR1L
DDHD2	MTNR1A
DDR1	CDH2 EPHB4 FDPS NOLC1 NXF1 PLCG1 SHC1 SLC6A4 TLN1 TRIP13
DDR2	CDH2 SHC1
DDX17	CCNL1 CD81 CEBPZ CHMP4B CREBBP DCP1A EED FBXO6 HGH1 KIF20A L1TD1 MAPT MEPCE NCL NCOA2 NIF3L1 OBSL1 PARVA PLEC PPP1CC RIOK1 SMARCAD1 SNW1 SRSF3 TOP1 TRPM7 ZBTB7B
DES	CHMP4B DSP DYSF KIF20A LMO4 NRAP PLEC POLR2G PPP1R18 TRIM63
DEXI	C3orf52 PRKCA
DHRS2	CCDC141 CCNL1 ZHX2
DHX16	FADS3 GABPB1 HABP4 HOMEZ KIF20A KLHL18 OBSL1 PRKCD SNW1
DKK3	GOSR2 STX5
DMC1	ATP5F1B C1orf112 DNAJA3 GMPPB NIF3L1 RBBP8 TRIM63
DMXL1	BET1 CALM1 EED
DNAJA3	CACNA1C CLTC DMC1 L1TD1 LATS2 MAD2L2 MET NFKB2 SLC6A4 SLC8A1 SOCS6 STK16 THBS3
DNAJB2	FAM83H
DNAL4	CAMK2D TRIM54
DNPEP	CCNL1 TNS3
DPF3	ACTL6A ACTL6B CSNK2A2 XPOT
DPM3	TM9SF2
DSP	CASP10 CASP7 CCNL1 CD81 CHMP4B CSTA DES EED EEF1G KIF20A L1TD1 MTDH NFKB2 NPHP4 OBSL1 PLEC PRKCA RELB RNF123 SNW1 TLN1 TRPM7 VARS2
DTWD2	CELSR2 MAD2L2 PCDH7
DTX3L	MCM7 PARP9
DUSP5	KPNA1 MRPS35 MTDH RPL32
DYSF	CAV3 DES EEF1G TTN
E2F1	ANAPC7 ASF1A CASP7 CCNA1 CDKN1A CDKN2C CREBBP E2F2 GABPB1 NXF1 SP3 TUBA4A UBXN1
E2F2	E2F1 GIT2
EDEM2	TXNDC11 UHMK1
EDN1	ADM COPS6
