Entry	Status	Gene names
Q14714	reviewed	SSPN KRAG
O94842	reviewed	TOX4 C14orf92 KIAA0737
Q93096	reviewed	PTP4A1 PRL1 PTPCAAX1
Q9P2F8	reviewed	SIPA1L2 KIAA1389
O60292	reviewed	SIPA1L3 KIAA0545 SPAL3
Q9BVW5	reviewed	TIPIN
Q92623	reviewed	TTC9 KIAA0227 TTC9A
P19544	reviewed	WT1
Q86SM8	reviewed	MRGPRE GPR167 MRGE
Q96LB1	reviewed	MRGPRX2 MRGX2
Q9Y6X6	reviewed	MYO16 KIAA0865 MYO16B NYAP3
Q9Y3E5	reviewed	PTRH2 BIT1 PTH2 CGI-147
Q9UMS6	reviewed	SYNPO2
Q9H0Z9	reviewed	RBM38 RNPC1 SEB4
Q9Y2L5	reviewed	TRAPPC8 KIAA1012
Q9H9S3	reviewed	SEC61A2
Q9UH36	reviewed	SRRD SRR1L
Q96NB2	reviewed	SFXN2
P18405	reviewed	SRD5A1
Q9NSE4	reviewed	IARS2
O75995	reviewed	SASH3 CXorf9 SLY
Q496J9	reviewed	SV2C KIAA1054
Q96JF0	reviewed	ST6GAL2 KIAA1877 SIAT2
Q9NSC7	reviewed	ST6GALNAC1 SIAT7A UNQ543/PRO848
P0DPE8	reviewed	SMIM34B
P31949	reviewed	S100A11 MLN70 S100C
Q9BWD1	reviewed	ACAT2 ACTL
Q9BZM4	reviewed	ULBP3 N2DL3 RAET1N
Q6P4I2	reviewed	WDR73 HSPC264
Q6ZN44	reviewed	UNC5A KIAA1976 UNC5H1
Q8IW36	reviewed	ZNF695
Q6IV72	reviewed	ZNF425
Q8WTR7	reviewed	ZNF473 KIAA1141 ZFP100
Q9H8N7	reviewed	ZNF395 HDBP2 PBF
Q5VIY5	reviewed	ZNF468
Q53GI3	reviewed	ZNF394 ZKSCAN14
Q9BQY6	reviewed	WFDC6 C20orf171 WAP6
Q86U90	reviewed	YRDC DRIP3 IRIP
Q6XR72	reviewed	SLC30A10 ZNT10 ZNT8
P17038	reviewed	ZNF43 KOX27 ZNF39 ZNF39L1
Q969W8	reviewed	ZNF566
P51508	reviewed	ZNF81
Q16587	reviewed	ZNF74 ZNF520
B1AH88	reviewed	TSPO PBRS
P01282	reviewed	VIP
Q9BYJ9	reviewed	YTHDF1 C20orf21
Q93097	reviewed	WNT2B WNT13
Q2YD98	reviewed	UVSSA KIAA1530
Q96PN8	reviewed	TSSK3 SPOGA3 STK22C
Q96KV7	reviewed	WDR90 C16orf15 C16orf16 C16orf17 C16orf18 C16orf19 KIAA1924
Q8N2C9	reviewed	UMODL1-AS1 C21orf128
Q5VTQ0	reviewed	TTC39B C9orf52
Q86TZ1	reviewed	TTC6 C14orf25 NCRNA00291
Q8TAA9	reviewed	VANGL1 STB2
Q8NEZ2	reviewed	VPS37A HCRP1
Q9NNX9	reviewed	VCX3A VCX3 VCX8R VCXA
P63119	reviewed	ERVK-21
A8MU76	reviewed	
O75528	reviewed	TADA3 ADA3 TADA3L
P04271	reviewed	S100B
Q06330	reviewed	RBPJ IGKJRB IGKJRB1 RBPJK RBPSUH
A0A0A0MTA4	reviewed	TRBJ2-5
A0A0J9YXG5	reviewed	TRBJ1-4
Q86UE8	reviewed	TLK2
A0A1W2PR48	reviewed	TLE7
Q9BVK8	reviewed	TMEM147
Q6ZMR5	reviewed	TMPRSS11A ECRG1 HATL1 HESP
Q86WV5	reviewed	TEN1 C17orf106
Q9NX00	reviewed	TMEM160
A6NCI4	reviewed	VWA3A
Q8TCY9	reviewed	URGCP KIAA1507 URG4
Q5VV11	reviewed	
Q9Y334	reviewed	VWA7 C6orf27 G7C NG37
Q8N8F6	reviewed	YIPF7 FINGER9 YIP1B
Q96MT0	reviewed	
Q9BTM9	reviewed	URM1 C9orf74
Q9H0D6	reviewed	XRN2
Q8N6Y0	reviewed	USHBP1 AIEBP MCC2
A0A087WT03	reviewed	TRAV26-1
A0A075B6N2	reviewed	TRBV20-1
Q9BTA9	reviewed	WAC KIAA1844
Q7Z5K2	reviewed	WAPL FOE KIAA0261 WAPAL
Q3SY52	reviewed	ZIK1 ZNF762
Q15661	reviewed	TPSAB1 TPS1 TPS2 TPSB1
Q9P2D8	reviewed	UNC79 KIAA1409
Q8TF45	reviewed	ZNF418 KIAA1956
Q7Z7K2	reviewed	ZNF467
Q02386	reviewed	ZNF45 KOX5 ZNF13
Q6ZMY9	reviewed	ZNF517
Q8NB15	reviewed	ZNF511
Q8NG11	reviewed	TSPAN14 TM4SF14
Q969S3	reviewed	ZNF622 ZPR9
Q6DKK2	reviewed	TTC19
Q6NSZ9	reviewed	ZSCAN25 ZNF498
P33763	reviewed	S100A5 S100D
P56279	reviewed	TCL1A TCL1
Q13569	reviewed	TDG
Q92738	reviewed	USP6NL KIAA0019
O00295	reviewed	TULP2 TUBL2
Q96ET8	reviewed	TVP23C FAM18B2 Nbla10383
A0A0B4J266	reviewed	TRAV41
Q0P140	reviewed	HSD52
Q9BXU2	reviewed	TEX13B
Q96RU2	reviewed	USP28 KIAA1515
P43403	reviewed	ZAP70 SRK
Q5HYM0	reviewed	ZC3H12B CXorf32 MCPIP2
O95365	reviewed	ZBTB7A FBI1 LRF ZBTB7 ZNF857A
A1YPR0	reviewed	ZBTB7C APM1 ZBTB36 ZNF857C
Q86VM9	reviewed	ZC3H18 NHN1
Q6ZST2	reviewed	ZCCHC23
Q8WYQ9	reviewed	ZCCHC14 KIAA0579
Q96MV8	reviewed	ZDHHC15 UNQ1969/PRO4501
Q9NUE0	reviewed	ZDHHC18
O75310	reviewed	UGT2B11
P15822	reviewed	HIVEP1 ZNF40
Q86UP3	reviewed	ZFHX4
Q96NJ6	reviewed	ZFP3 ZNF752
Q96KR1	reviewed	ZFR
Q9UDW3	reviewed	ZMAT5
Q5JSH3	reviewed	WDR44
Q03924	reviewed	ZNF117
Q9H2Y7	reviewed	ZNF106 SH3BP3 ZFP106 ZNF474
Q562E7	reviewed	WDR81
P51786	reviewed	ZNF157
Q9UJW7	reviewed	ZNF229
O75346	reviewed	ZNF253 BMZF1 ZNF411
Q9UDV6	reviewed	ZNF212 ZNFC150
Q9NRM2	reviewed	ZNF277 NRIF4 ZNF277P
Q96B54	reviewed	ZNF428 C19orf37
Q8NEX5	reviewed	WFDC9 WAP9
Q6ZT77	reviewed	ZNF826P ZNF826
Q9BWM5	reviewed	ZNF416
Q92618	reviewed	ZNF516 KIAA0222
Q8WUA8	reviewed	TSKU E2IG4 LRRC54 TSK UNQ850/PRO1788
Q05481	reviewed	ZNF91
Q8TB69	reviewed	ZNF519
Q96K75	reviewed	ZNF514
Q9H1Z9	reviewed	TSPAN10 OCSP
Q9H707	reviewed	ZNF552
Q68EA5	reviewed	ZNF57 ZNF424
Q6ZN08	reviewed	ZNF66 ZNF66P
Q96ND8	reviewed	ZNF583
Q15361	reviewed	TTF1
Q8NEG5	reviewed	ZSWIM2 ZZZ2
Q9NY84	reviewed	VNN3
Q9BTX7	reviewed	TTPAL C20orf121
Q7Z5H5	reviewed	VN1R4 V1RL4
Q6ZVL8	reviewed	
A8MWP6	reviewed	
Q6UWI4	reviewed	SHISA2 C13orf13 TMEM46 UNQ9166/PRO28631
A0A0B4J200	reviewed	TRBJ2-3 hCG_2039521
Q05086	reviewed	UBE3A E6AP EPVE6AP HPVE6A
Q92536	reviewed	SLC7A6 KIAA0245
A0A075B6X5	reviewed	TRAV18
P0CH99	reviewed	ZNF705D
Q6ZSB9	reviewed	ZBTB49 ZNF509
O75152	reviewed	ZC3H11A KIAA0663 ZC3HDC11A
P19971	reviewed	TYMP ECGF1
Q6ZSN1	reviewed	
Q96BR9	reviewed	ZBTB8A BOZF1
P47985	reviewed	UQCRFS1
P0CG32	reviewed	ZCCHC18
O60656	reviewed	UGT1A9 GNT1 UGT1
Q70EL1	reviewed	USP54 C10orf29
Q9H8X9	reviewed	ZDHHC11 ZNF399
Q9C0B5	reviewed	ZDHHC5 KIAA1748 ZNF375
Q641Q2	reviewed	WASHC2A FAM21A FAM21B
Q9C0A1	reviewed	ZFHX2 KIAA1056 KIAA1762 ZNF409
P15692	reviewed	VEGFA VEGF
Q9BZJ3	reviewed	TPSD1
Q86VQ6	reviewed	TXNRD3 TGR TRXR3
Q5H9K5	reviewed	ZMAT1 KIAA1789
P52738	reviewed	ZNF140
O95201	reviewed	ZNF205 ZNF210
Q8N8G2	reviewed	VGLL2 VITO1
Q5SRN2	reviewed	TSBP1 C6orf10
Q6ZMS7	reviewed	ZNF783
P0CB33	reviewed	ZNF735 ZNF735P
Q96SE7	reviewed	ZNF347 ZNF1111
Q6S9Z5	reviewed	ZNF474
P17098	reviewed	ZNF8
Q9H4A3	reviewed	WNK1 HSN2 KDP KIAA0344 PRKWNK1
Q7Z398	reviewed	ZNF550
Q9BSK1	reviewed	ZNF577
Q9H582	reviewed	ZNF644 KIAA1221 ZEP2
Q8N720	reviewed	ZNF655 VIK
Q5R3I4	reviewed	TTC38
Q96HJ5	reviewed	MS4A3 CD20L HTM4
Q9Y3B1	reviewed	PRELID3B C20orf45 SLMO2 CGI-107
P61574	reviewed	HERVK_113
F8VTS6	reviewed	RFPL4AL1
Q6WKZ4	reviewed	RAB11FIP1 RCP
Q07020	reviewed	RPL18
O00287	reviewed	RFXAP
Q8N431	reviewed	RASGEF1C
Q9BWE0	reviewed	REPIN1 RIP60 ZNF464
Q9UGC6	reviewed	RGS17 RGSZ2
Q96IS3	reviewed	RAX2 QRX RAXL1
O15539	reviewed	RGS5
Q2M5E4	reviewed	RGS21
Q9H974	reviewed	QTRT2 QTRTD1
P50120	reviewed	RBP2 CRBP2
Q14964	reviewed	RAB39A RAB39
Q8TDY2	reviewed	RB1CC1 KIAA0203 RBICC
Q00577	reviewed	PURA PUR1
Q6ZW05	reviewed	PTCHD4 C6orf138 PTCH53
P0DI81	reviewed	TRAPPC2 SEDL
Q9Y2V3	reviewed	RAX RX
P34925	reviewed	RYK JTK5A
A6NEL2	reviewed	SOWAHB ANKRD56
Q9NQW1	reviewed	SEC31B SEC31L2
Q8WWT9	reviewed	SLC13A3 NADC3 SDCT2
P0C7V7	reviewed	SEC11B SEC11L2 SPCS4B
Q13428	reviewed	TCOF1
Q8TDR4	reviewed	TCP10L PRED77
Q7Z6L1	reviewed	TECPR1 KIAA1358
O00762	reviewed	UBE2C UBCH10
A0A0B4J249	reviewed	TRAV5
O00526	reviewed	UPK2
A6NL46	reviewed	
A0A075B6T6	reviewed	TRAV12-2
A0A0B4J2E0	reviewed	TRBV12-4
P54578	reviewed	USP14 TGT
Q9P275	reviewed	USP36 KIAA1453
Q9Y6I7	reviewed	WSB1 SWIP1
O43264	reviewed	ZW10
O14972	reviewed	VPS26C DCRA DSCR3 DSCRA
Q16881	reviewed	TXNRD1 GRIM12 KDRF
Q8NI36	reviewed	WDR36
